time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-01 00:00:00+00:00,1.0,1.0,11,2
2024-12-02 00:00:00+00:00,1.0,1.0,22,3
2024-12-03 00:00:00+00:00,,,38,7
2024-12-04 00:00:00+00:00,,,16,5
2024-12-05 00:00:00+00:00,2.0,2.0,28,8
2024-12-06 00:00:00+00:00,,,20,3
2024-12-07 00:00:00+00:00,,,72,3
2024-12-08 00:00:00+00:00,2.0,1.0,35,1
2024-12-09 00:00:00+00:00,2.0,1.0,34,5
2024-12-10 00:00:00+00:00,8.0,3.0,26,4
2024-12-11 00:00:00+00:00,,,14,3
2024-12-12 00:00:00+00:00,,,5,3
2024-12-13 00:00:00+00:00,5.0,2.0,17,3
2024-12-14 00:00:00+00:00,,,4,2
